Title_translated,Funding_Amount_in_EUR,Start_Date,Start_Year,End_Date,End_Year,Research_Organization_original,Research_Organization_standardized,Country_of_Research_organization,Funder,Funder_Group,Funder_Country,Fields_of_Research_ANZSRC_2020,RCDC_Categories,HRCS_HC_Categories,HRCS_RAC_Categories,Cancer_Types,CSO_Categories,Units_of_Assessment,Sustainable_Development_Goals,topic
Pathogenetic mechanisms affecting the phenotypic expression of obesity and the response to therapy,184000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Pisa; University of Pavia; University of Bologna; University of Naples Federico II,University of Pisa; University of Pavia; University of Bologna; University of Naples Federico II,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3208 Medical Physiology,,Cancer; Cardiovascular,,,,,,obesity pathogenesis
"INTERACTION BETWEEN THE SIGNALS IN THE PROLIFERATION AND THE SURVIVAL OF THE THERAPEUTIC CELL, INDICATED BY TSH",140000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; Magna Graecia University; University of Molise,University of Naples Federico II; Magna Graecia University; University of Molise,Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3101 Biochemistry and Cell Biology,,Neurological,,,,,,tsh-cell interaction
The regulation of apoptosis,144700.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Salerno; University of Naples Federico II; Magna Graecia University; National Research Council,University of Salerno; University of Naples Federico II; Magna Graecia University; National Research Council,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,regulating apoptosis
"GENE REGULATION OF THYROID DEVELOPMENT, DIFFERENTIATION, FUNCTION AND PROLIFERATION",135000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Messina; Catholic University of the Sacred Heart; Sapienza University of Rome; University of Naples Federico II; University of Chieti-Pescara,University of Messina; Catholic University of the Sacred Heart; Sapienza University of Rome; University of Naples Federico II; University of Chieti-Pescara,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 32 Biomedical and Clinical Sciences; 3202 Clinical Sciences,,,1.1 Normal biological development and functioning,Not Site-Specific Cancer; Thyroid Cancer,1.1 Normal Functioning,,,gene regulation of thyroid
Geography and sociology of innovation in Italy,130000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Florence; University of Urbino; University of Naples Federico II,University of Florence; University of Urbino; University of Naples Federico II,Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,innovation in italy
"Proteomics, metabolomics and gene expression in thyroid nodules with follicular cytology",174000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Pisa; University of Naples Federico II,University of Pisa; University of Naples Federico II,Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3205 Medical Biochemistry and Metabolomics,,,,Thyroid Cancer,4.1 Technology Development and/or Marker Discovery,,,thyroid nodule proteomics
Tumor microenvironment and molecular target therapy,155000.0,2007-01-01,2007.0,2009-01-01,2009.0,Magna Graecia University; University of Calabria; University of Milano-Bicocca; Catholic University of the Sacred Heart; University of Naples Federico II,Magna Graecia University; University of Calabria; University of Milano-Bicocca; Catholic University of the Sacred Heart; University of Naples Federico II,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3204 Immunology; 3211 Oncology and Carcinogenesis,,Cancer,5.1 Pharmaceuticals,,,,,targeting tumor
"Conservative balance, conflict and problem of democracy in the modern and contemporary age",89351.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Bari Aldo Moro; University of Salerno; University of Padua; University of Naples Federico II; University of Turin,University of Bari Aldo Moro; University of Salerno; University of Padua; University of Naples Federico II; University of Turin,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,44 Human Society; 4408 Political Science,,,,,,,,democracy's challenge
Misfolding and amyloid aggregation of proteins,160700.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Florence; University of Udine; University of Naples Federico II; University of Genoa; University of Pavia,University of Florence; University of Udine; University of Naples Federico II; University of Genoa; University of Pavia,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3101 Biochemistry and Cell Biology,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Dementia; Neurodegenerative; Neurosciences,Generic health relevance,1.1 Normal biological development and functioning,,,B12 Engineering,,protein misfolding
Development of 3rd Generation Electrochemical Biosensors based on Engineered and Synthetic Chemometers,235000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Modena and Reggio Emilia; University of Rome Tor Vergata; University of Naples Federico II; University of Turin,University of Modena and Reggio Emilia; University of Rome Tor Vergata; University of Naples Federico II; University of Turin,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,34 Chemical Sciences; 3401 Analytical Chemistry; 46 Information and Computing Sciences,,Generic health relevance,,,,,,3rd gen biosensor
Labor market and social dampers,26000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; University of Calabria; University of Campania Luigi Vanvitelli; University of Palermo,University of Naples Federico II; University of Calabria; University of Campania Luigi Vanvitelli; University of Palermo,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,labor and social inequality
"Methodologies for monitoring, forecasting and controlling soil and ground pollution processes from diffuse sources of agricultural origin",88000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; University of Catania; University of Basilicata,University of Naples Federico II; University of Catania; University of Basilicata,Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,41 Environmental Sciences; 4106 Soil Sciences,,,,,,,,soil pollution
Protein interactomes,126550.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; Parthenope University of Naples; University of Pavia,University of Naples Federico II; Parthenope University of Naples; University of Pavia,Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3101 Biochemistry and Cell Biology,,,,,,,,protein-protein interaction
Physical and mathematical modeling to support the development of clean coal technologies,208000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; National Research Council; Politecnico di Milano; University of Pisa,University of Naples Federico II; National Research Council; Politecnico di Milano; University of Pisa,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,40 Engineering; 4004 Chemical Engineering,,,,,,,,clean coal modeling
MONITORING OF STRUCTURAL INTEGRITY OF AEROSPACE BUILDINGS,290000.0,2007-01-01,2007.0,2009-01-01,2009.0,Politecnico di Milano; Polytechnic University of Turin; Sapienza University of Rome; University of Pisa; University of Naples Federico II,Politecnico di Milano; Polytechnic University of Turin; Sapienza University of Rome; University of Pisa; University of Naples Federico II,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,40 Engineering; 4001 Aerospace Engineering,,,,,,,,aerospace structure
"Hyperlipidemia, Atherosclerosis and Renal Insufficiency",163000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; University of Pavia; National Research Council,University of Naples Federico II; University of Pavia; National Research Council,Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,34 Chemical Sciences; 49 Mathematical Sciences; 4904 Pure Mathematics,,,,Kidney Cancer,,,,renal atheroscl
Immune-mediated Pathogenesis of Neurological Nervous Hypoglycemia and Mielodysplastic Syndromes,176000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; University of Florence; University of Turin,University of Naples Federico II; University of Florence; University of Turin,Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3204 Immunology,,Neurological,,,,,,immune-neuro-hypo-mds
Marine biotoxins present in Italian coastal waters,141987.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Modena and Reggio Emilia; University of Urbino; University of Genoa; University of Naples Federico II; University of Trieste,University of Modena and Reggio Emilia; University of Urbino; University of Genoa; University of Naples Federico II; University of Trieste,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,37 Earth Sciences; 3708 Oceanography; 48 Law and Legal Studies,,,,,,,,italian marine toxin
Role of sphingosine-1-phosphate in airway inflammation and hyperresponsiveness.,125500.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Campania Luigi Vanvitelli; University of Naples Federico II; University of Milan; University of Genoa,University of Campania Luigi Vanvitelli; University of Naples Federico II; University of Milan; University of Genoa,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3201 Cardiovascular Medicine and Haematology,,Respiratory,,,,,,s1p's role in asthma
Identification and characterization of mutations of genes involved in malignant hyperthermia and central core disease.,91000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Siena; University of Naples Federico II,University of Siena; University of Naples Federico II,Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3208 Medical Physiology,,Cancer,2.1 Biological and endogenous factors,,,,,mutation in mh/ccd
New perspectives on innate immunity and immunotherapy.,142000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; University of Brescia; University of Sassari; University of Perugia,University of Naples Federico II; University of Brescia; University of Sassari; University of Perugia,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3204 Immunology,,,,,,,,innate immunity and immunotherapy
Infectious agents and dietary factors in bovine bladder oncogenesis,139500.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; Magna Graecia University; University of Salerno,University of Naples Federico II; Magna Graecia University; University of Salerno,Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,"30 Agricultural, Veterinary and Food Sciences; 3006 Food Sciences",,,,Bladder Cancer,2.1 Exogenous Factors in the Origin and Cause of Cancer; 3.2 Nutritional Science in Cancer Prevention,,,bovine bladder cancer caused by diet and pathogen
Innovative tools and strategies for designing crop systems for the Italian Vessel Zone,120000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Sassari; University of Udine; University of Naples Federico II; Marche Polytechnic University,University of Sassari; University of Udine; University of Naples Federico II; Marche Polytechnic University,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,"30 Agricultural, Veterinary and Food Sciences; 3008 Horticultural Production",,,,,,,,designing crop for italy
Structure of complex carbohydrates produced by pathogenic bacteria and their interaction with components of the immune system,129000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Trieste; National Research Council; University of Naples Federico II,University of Trieste; National Research Council; University of Naples Federico II,Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 32 Biomedical and Clinical Sciences; 3204 Immunology,,Inflammatory and immune system,2.2 Factors relating to the physical environment,,,,,immune response to bacteria-derived carbohydrate
STUDY OF STRESS EFFECTS DURING ADOLESCENCE AND THEIR PSYCHOPATHOLOGICAL IMPLICATIONS,94940.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Milan; University of Naples Federico II; University of Cagliari,University of Milan; University of Naples Federico II; University of Cagliari,Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,48 Law and Legal Studies; 4805 Legal Systems; 52 Psychology,,,,,,,,adolescent stress
Genomic Imprinting Defects in Growth Disorders and Tumors,97000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Campania Luigi Vanvitelli; University of Turin; University of Naples Federico II; National Research Council,University of Campania Luigi Vanvitelli; University of Turin; University of Naples Federico II; National Research Council,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3105 Genetics,,,,Not Site-Specific Cancer,,,,genomic imprinting and cancer
"CoOPERARE (Content Organization, Propagation, Evaluation and Reuse through Active Repositories) - La rete, le istituzioni e i patrimoni culturali",350473.0,2007-01-01,2007.0,2009-01-01,2009.0,Polytechnic University of Turin; University of Naples Federico II; University of Bologna; Tuscia University; Roma Tre University,Polytechnic University of Turin; University of Naples Federico II; University of Bologna; Tuscia University; Roma Tre University,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,"43 History, Heritage and Archaeology; 4302 Heritage, Archive and Museum Studies; 46 Information and Computing Sciences",,,,,,B11 Computer Science and Informatics,4 Quality Education,cooperare  patrimoni culturali
Synthesis and characterization of inorganic inorganic hybrids prepared with the sol-gel technique for the construction of scaffolds for the engineering of the craniofacial tissues.,130000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; University of Campania Luigi Vanvitelli; National Research Council; University of Ferrara,University of Naples Federico II; University of Campania Luigi Vanvitelli; National Research Council; University of Ferrara,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,34 Chemical Sciences; 40 Engineering; 4003 Biomedical Engineering,Dental/Oral and Craniofacial Disease,,,,,B12 Engineering,,inorganic hybrid for craniofacial engineering
ROLE OF UCCHANASI RECEPTOR IN TRAFFICKING OF STAMINAL AND TUMORAL CELLS,143000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Salerno; University of Florence; University of Naples Federico II,University of Salerno; University of Florence; University of Naples Federico II,Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3101 Biochemistry and Cell Biology; 32 Biomedical and Clinical Sciences,,,2.1 Biological and endogenous factors,Not Site-Specific Cancer,1.4 Cancer Progression and Metastasis,,,ucchanasi's role in cell trafficking
Physiopathological role of poly (ADPR) polymerase (PARP) and its therapeutic implications.,76093.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; University of Rome Tor Vergata; University of Verona; Sapienza University of Rome,University of Naples Federico II; University of Rome Tor Vergata; University of Verona; Sapienza University of Rome,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 52 Psychology; 5203 Clinical and Health Psychology,,,,,,,,parp and disease
THROMBOEMBOLIC RECURRENCIES IN PREGNANCY AND RECURRING OBSTETRIC COMPLICATIONS,126000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Padua; Catholic University of the Sacred Heart; University of Naples Federico II; University of Foggia; University of Bologna,University of Padua; Catholic University of the Sacred Heart; University of Naples Federico II; University of Foggia; University of Bologna,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3215 Reproductive Medicine,,Reproductive health and childbirth,,,,,,pregnancy thromboembolism
Art in the service of power. Celebratory models of commissioning in the Italian states between the late Middle Ages and the modern age,66000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Florence; University of Genoa; University of Pisa; University of Naples Federico II; University of Rome Tor Vergata,University of Florence; University of Genoa; University of Pisa; University of Naples Federico II; University of Rome Tor Vergata,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,"36 Creative Arts and Writing; 3601 Art History, Theory and Criticism; 44 Human Society",,,,,,,,power and art
The adaptive behavior of biological systems and the scientific method,81000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Milano-Bicocca; University of Padua; University of Naples Federico II; University of Milan,University of Milano-Bicocca; University of Padua; University of Naples Federico II; University of Milan,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,50 Philosophy and Religious Studies; 5002 History and Philosophy Of Specific Fields,,,,,,,,adaptive biological system
Endogenous and exogenous factors involved in germination and post-embryonic development of Mediterranean orchids,45750.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Turin; University of Naples Federico II,University of Turin; University of Naples Federico II,Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3108 Plant Biology,,,,,,,,mediterranean orchid germination
DETERMINANTS OF CELL POLARITY,165910.0,2007-01-01,2007.0,2009-01-01,2009.0,Vita-Salute San Raffaele University; Sapienza University of Rome; University of Genoa; University of Naples Federico II,Vita-Salute San Raffaele University; Sapienza University of Rome; University of Genoa; University of Naples Federico II,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3101 Biochemistry and Cell Biology,,Cancer; Generic health relevance,1.1 Normal biological development and functioning,Not Site-Specific Cancer,1.1 Normal Functioning,,,cell polarity determinant
Study of molecular and cellular bases of targeted therapy response with tyrosine-kinase inhibitors to optimize Philadelphia positive leukemia treatment,234000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; University of Bologna; University of Turin; Sapienza University of Rome,University of Naples Federico II; University of Bologna; University of Turin; Sapienza University of Rome,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3202 Clinical Sciences; 3211 Oncology and Carcinogenesis,Cancer; Childhood Leukemia; Hematology; Pediatric; Pediatric Cancer; Rare Diseases,,6.1 Pharmaceuticals,Leukemia / Leukaemia,5.3 Systemic Therapies - Discovery and Development,A01 Clinical Medicine,,tyrosine-kinase inhibitor for phl treatment
Use of nanoparticles as multifunctional carriers for photodynamic tumor therapy.,90000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; National Research Council,University of Naples Federico II; National Research Council,Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3206 Medical Biotechnology; 40 Engineering; 4018 Nanotechnology,,,,,,,,nanoparticle photodynamic tumor therapy
Design of new nanostructured materials for electronical and optical applications through theory to first principles and simulation,145200.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Modena and Reggio Emilia; University of Naples Federico II; University of Milan; University of Rome Tor Vergata,University of Modena and Reggio Emilia; University of Naples Federico II; University of Milan; University of Rome Tor Vergata,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,40 Engineering; 4016 Materials Engineering,,,,,,,,nanomaterial
Study of very high energy cosmic radiation through measurements and analysis of the directions of arrival of the primary particles,141000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Turin; University of Catania; University of Rome Tor Vergata; University of Eastern Piedmont Amadeo Avogadro; University of Naples Federico II,University of Turin; University of Catania; University of Rome Tor Vergata; University of Eastern Piedmont Amadeo Avogadro; University of Naples Federico II,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,B09 Physics,,cosmic ray
New acquisitions on pathophysiology and endometriosis therapy,165000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; University of Siena; University of Bologna; University of Modena and Reggio Emilia; Magna Graecia University,University of Naples Federico II; University of Siena; University of Bologna; University of Modena and Reggio Emilia; Magna Graecia University,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3215 Reproductive Medicine,,,,,,,,endometriosis therapy
"Development of strategies for the control, diagnosis and management of internal combustion engines to comply with EURO 6 regulations",120000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Bologna; University of Calabria; University of Parma; University of Naples Federico II,University of Bologna; University of Calabria; University of Parma; University of Naples Federico II,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,40 Engineering; 4010 Engineering Practice and Education,,,,,,,,euro 6 ic engine
The reform of the criminal code in Italy. The general part,35788.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; University of Bologna; University of Bergamo; University of Salento,University of Naples Federico II; University of Bologna; University of Bergamo; University of Salento,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,44 Human Society; 48 Law and Legal Studies; 4804 Law In Context,,,,,,,,reforming italy's criminal code
Group theory and applications,106960.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Padua; University of Salerno; University of Milano-Bicocca; University of Naples Federico II; University of Florence,University of Padua; University of Salerno; University of Milano-Bicocca; University of Naples Federico II; University of Florence,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,group theory
Innovative criteria for sustainable management of water resources and aqueduct systems,125000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Palermo; University of Perugia; University of Naples Federico II; University of Cagliari; University of Campania Luigi Vanvitelli,University of Palermo; University of Perugia; University of Naples Federico II; University of Cagliari; University of Campania Luigi Vanvitelli,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,37 Earth Sciences; 3707 Hydrology; 38 Economics,,,,,,,,sustainable water
Hispanic textual criticism,60098.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Pavia; University of Ferrara; University of Udine; University of Naples Federico II; University of Bari Aldo Moro,University of Pavia; University of Ferrara; University of Udine; University of Naples Federico II; University of Bari Aldo Moro,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,hispanic text
"Structure, function and evolution of hemoproteins from marine organismsarctic and antarctic",198000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; University of Rome Tor Vergata; National Research Council; University of Florence,University of Naples Federico II; University of Rome Tor Vergata; National Research Council; University of Florence,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3104 Evolutionary Biology; 37 Earth Sciences,,,,,,,,marine hemoprotein
Quadruple helix DNA,273000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; University of Sassari; University of Udine; Sapienza University of Rome,University of Naples Federico II; University of Sassari; University of Udine; Sapienza University of Rome,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3101 Biochemistry and Cell Biology,,,,Not Site-Specific Cancer,,,,quadruplex dna
Relations between European administrative law and global administrative law,51900.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Siena; University of Rome Tor Vergata; University of Molise; Tuscia University; University of Naples Federico II,University of Siena; University of Rome Tor Vergata; University of Molise; Tuscia University; University of Naples Federico II,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,48 Law and Legal Studies; 4803 International and Comparative Law; 4807 Public Law,,,,,,,,global admin law and eu admin law
"Musisque deoque II.A dynamic digital archive of Latin poetry, from the origins to the Italian Renaissance.",298000.0,2007-01-01,2007.0,2009-01-01,2009.0,Ca' Foscari University of Venice; University of Perugia; University of Calabria; University of Naples Federico II; University of Parma,Ca' Foscari University of Venice; University of Perugia; University of Calabria; University of Naples Federico II; University of Parma,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,"36 Creative Arts and Writing; 47 Language, Communication and Culture; 4705 Literary Studies",,,,,,,,latin poetry
PHYSIOPATHOLOGICAL MECHANISMS AND CLINICAL ASPECTS OF IPER OR IPO-FUNCTION PATHOLOGY,174000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Pisa; University of Milan; University of Naples Federico II; University of Turin; University of Genoa,University of Pisa; University of Milan; University of Naples Federico II; University of Turin; University of Genoa,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3202 Clinical Sciences,,,,,,,,iper/ipo-func pathology
Innovative methods of separating control in low pressure turbine internal aerodynamics,125000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Florence; University of Genoa; University of Naples Federico II,University of Florence; University of Genoa; University of Naples Federico II,Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,40 Engineering; 4012 Fluid Mechanics and Thermal Engineering,,,,,,,,separating flow in turbine
Study on the relationship between thyroid autoimmunity and thyroid cancer,190000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Cagliari; University of Naples Federico II; University of Pisa,University of Cagliari; University of Naples Federico II; University of Pisa,Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3211 Oncology and Carcinogenesis; 49 Mathematical Sciences,,Cancer,,Head and Neck Cancer; Thyroid Cancer,2.1 Exogenous Factors in the Origin and Cause of Cancer,,,thyroid autoimmunity and cancer risk
Forms of controversy in the Christian age (III - V century),96000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Foggia; University of Calabria; University of Salento; University of Genoa; University of Naples Federico II,University of Foggia; University of Calabria; University of Salento; University of Genoa; University of Naples Federico II,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,50 Philosophy and Religious Studies; 5005 Theology,,,,,,,,controversy in early christianity
The impact of the adoption of IAS/IFRS on the information on the financial statements of listed Italian companies,46138.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Pisa; University of Bologna; University of Naples Federico II; University of Cagliari,University of Pisa; University of Bologna; University of Naples Federico II; University of Cagliari,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,"35 Commerce, Management, Tourism and Services; 3501 Accounting, Auditing and Accountability; 3502 Banking, Finance and Investment; 3507 Strategy, Management and Organisational Behaviour",,,,,,,,ias/ifrs impact on italian listed company financial
SAFEGUARDING WATER BODIES FROM CONTAMINATION BY XENBIOTIC COMPOUNDS,165250.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Catania; Politecnico di Milano; University of Naples Federico II; University of Florence; University of Insubria,University of Catania; Politecnico di Milano; University of Naples Federico II; University of Florence; University of Insubria,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,40 Engineering; 4004 Chemical Engineering,,,,,,,,protecting water from xenobiotic
Spectroscopic growth and spectrum optimization technologies for X-ray and CdTe / CdZnTe-based gamma.,180500.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Salento; University of Naples Federico II; National Institute for Astrophysics; University of Parma,University of Salento; University of Naples Federico II; National Institute for Astrophysics; University of Parma,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,51 Physical Sciences; 5106 Nuclear and Plasma Physics,,,,,,,,optimizing x-ray gamma spectroscopy
Numerical models and algorithms for the analysis of degradation and vulnerability of structural elements of civil and industrial infrastructures subject to mechanical and thermochemical actions.,165000.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Padua; University of Bologna; University of Naples Federico II; University of Catania; University of Calabria,University of Padua; University of Bologna; University of Naples Federico II; University of Catania; University of Calabria,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,40 Engineering; 4005 Civil Engineering,,,,,,B12 Engineering,,vulnerability of structure
The rights of others in Greece and Rome,37168.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Milano-Bicocca; University of Milan; University of Naples Federico II; University of Sannio; University of Campania Luigi Vanvitelli,University of Milano-Bicocca; University of Milan; University of Naples Federico II; University of Sannio; University of Campania Luigi Vanvitelli,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,right of others in ancient greece and rome
Cell growth and transduction apparatus function,120890.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Rome Tor Vergata; University of Eastern Piedmont Amadeo Avogadro; University of Naples Federico II; University of Turin,University of Rome Tor Vergata; University of Eastern Piedmont Amadeo Avogadro; University of Naples Federico II; University of Turin,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,cell transduction
Editions and studies on texts preserved in papyrus Ercolano and Grecoegizi,86500.0,2007-01-01,2007.0,2009-01-01,2009.0,University of Naples Federico II; University of Salerno; University of Udine; University of Rome Tor Vergata; University of Calabria,University of Naples Federico II; University of Salerno; University of Udine; University of Rome Tor Vergata; University of Calabria,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,"47 Language, Communication and Culture; 4705 Literary Studies",,,,,,,,papyrus study
